GeneSet,N_Genes,CPI,SE,t,p.value,q.value
TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_UP,174,0.437909879290486,0.0302213497806477,14.4900834168202,6.96619416445352e-26,2.21643909451942e-24
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP,130,0.43116657582028,0.0297815253336567,14.4776525375955,7.36417148922331e-26,2.31483414643176e-24
JOHANSSON_GLIOMAGENESIS_BY_PDGFB_UP,48,0.458937459278126,0.0317730025835726,14.4442583942446,8.55031931970071e-26,2.65568846489276e-24
KAAB_FAILED_HEART_ATRIUM_DN,112,0.440178860894967,0.0304865994462779,14.4384375066373,8.77594212015299e-26,2.69369799899755e-24
NIKOLSKY_BREAST_CANCER_16P13_AMPLICON,82,0.443506183778588,0.0307402519948911,14.4275389756824,9.21461268462415e-26,2.79545633653307e-24
NIKOLSKY_BREAST_CANCER_20Q12_Q13_AMPLICON,87,0.416696844654323,0.0289912681493582,14.3731844535937,1.17548954116414e-25,3.52511748608878e-24
IZADPANAH_STEM_CELL_ADIPOSE_VS_BONE_DN,77,0.442437437059647,0.0308692576749674,14.3326231462453,1.410029924351e-25,4.18041826435428e-24
IRITANI_MAD1_TARGETS_DN,34,0.431360131632468,0.0301784635649327,14.2936412486455,1.67974260693016e-25,4.92409939492224e-24
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP,136,0.446963631839852,0.0312900768417608,14.2845169125094,1.75003457017383e-25,5.07315577064836e-24
MULLIGHAN_NPM1_SIGNATURE_3_DN,117,0.458962401594764,0.0321406729030238,14.2798006432399,1.78752025601696e-25,5.12487950323983e-24
ANDERSEN_LIVER_CANCER_KRT19_UP,29,0.447222623068853,0.0313265631372295,14.276147086731,1.81711372859273e-25,5.15309751945481e-24
REACTOME_SIGNALING_BY_NOTCH,67,0.429552744138285,0.0301010554579655,14.2703548962969,1.86504338178797e-25,5.23214858396216e-24
WANG_LMO4_TARGETS_UP,235,0.475077412827976,0.0333095295586311,14.262507430246,1.93201561440548e-25,5.33059221724985e-24
MARTINEZ_RB1_TARGETS_DN,388,0.466011402538001,0.0326762396649682,14.2614758404287,1.94099754940106e-25,5.33059221724985e-24
REACTOME_G1_S_TRANSITION,87,0.44532078910213,0.0312553394096599,14.2478308510864,2.06383222691653e-25,5.60889404169295e-24
HUTTMANN_B_CLL_POOR_SURVIVAL_UP,202,0.45831351888618,0.0321760023103645,14.2439546860223,2.10013167038853e-25,5.64870466808626e-24
PID_ER_NONGENOMIC_PATHWAY,34,0.437016726151242,0.0307084383039383,14.2311608889338,2.22456411671014e-25,5.92233446989466e-24
APRELIKOVA_BRCA1_TARGETS,38,0.438567372439333,0.0308370140492851,14.2221089155517,2.31705939146589e-25,6.10627065892375e-24
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,124,0.430246624029956,0.0302585379088756,14.2190156485966,2.34954620216744e-25,6.12996604145486e-24
MCBRYAN_PUBERTAL_BREAST_4_5WK_DN,149,0.436051814007997,0.0306774984145486,14.2140603551039,2.40254652296821e-25,6.20618205784559e-24
CAFFAREL_RESPONSE_TO_THC_24HR_5_DN,48,0.452489140326759,0.0318693654811477,14.1982475488704,2.57985380820154e-25,6.59886135842922e-24
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP,414,0.447677811405018,0.0315489923668158,14.189924235929,2.67841135509859e-25,6.78444196645847e-24
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,71,0.425570190685818,0.0300024628731645,14.1845085346799,2.74456477332736e-25,6.88516297462605e-24
ZWANG_EGF_INTERVAL_DN,137,0.4231751060181,0.0298415292561919,14.1807446389596,2.79150696325444e-25,6.93623015917223e-24
ZAMORA_NOS2_TARGETS_DN,84,0.443464462178558,0.0312993958679019,14.1684671502986,2.95031615471493e-25,7.20006375342406e-24
SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_UP,34,0.423011399938874,0.0298562401111839,14.1682743159751,2.95288164667066e-25,7.20006375342406e-24
GARCIA_TARGETS_OF_FLI1_AND_DAX1_DN,118,0.425166903886401,0.0300198454444869,14.1628611870313,3.02582154551043e-25,7.30960038170067e-24
BROWNE_HCMV_INFECTION_30MIN_UP,40,0.458795427256785,0.0324114244038774,14.1553614410695,3.12988271409085e-25,7.49161834959912e-24
MAYBURD_RESPONSE_TO_L663536_DN,38,0.456908848427834,0.0322929959429524,14.148852873081,3.22310478589981e-25,7.64461853310238e-24
LUI_THYROID_CANCER_PAX8_PPARG_DN,34,0.41969714417533,0.0297138999400255,14.1246064980513,3.59565333439211e-25,8.4514049994856e-24
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN,129,0.439618715326776,0.0311678827025407,14.1048629938196,3.93080696839502e-25,9.15667444691304e-24
GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP,151,0.443401923760176,0.0314892057861171,14.0810767591878,4.3766068797935e-25,1.01049268578595e-23
MIDORIKAWA_AMPLIFIED_IN_LIVER_CANCER,29,0.407635745156817,0.0289858536576664,14.0632651351637,4.74344139943722e-25,1.0855823343098e-23
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN,321,0.426612104622076,0.030389236520132,14.038263328513,5.31114537375359e-25,1.20493724174984e-23
GAUSSMANN_MLL_AF4_FUSION_TARGETS_F_UP,132,0.439254761718523,0.031328019249046,14.0211469555931,5.7387491459734e-25,1.29072383809005e-23
FOSTER_KDM1A_TARGETS_DN,148,0.408442871543483,0.0291725544329763,14.0009292803575,6.2886720945179e-25,1.39565889663565e-23
IKEDA_MIR133_TARGETS_UP,36,0.425651635462346,0.0304034685483164,14.0001011656256,6.31229397481818e-25,1.39565889663565e-23
AMUNDSON_GENOTOXIC_SIGNATURE,90,0.438167176941685,0.0313725625487432,13.9665727420548,7.34753220248706e-25,1.61090012741922e-23
GERHOLD_ADIPOGENESIS_DN,54,0.441297058589249,0.0316057722993702,13.9625462845609,7.48283013923969e-25,1.62689198610636e-23
OHGUCHI_LIVER_HNF4A_TARGETS_DN,104,0.433369486496549,0.0310539184436384,13.9553881833978,7.72957565669299e-25,1.66415251658779e-23
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN,118,0.417380913550652,0.0299119165336749,13.9536666960395,7.79012743371537e-25,1.66415251658779e-23
REACTOME_PHASE_II_CONJUGATION,38,0.449770763642466,0.0322367734095643,13.9521023995852,7.84556379993476e-25,1.66415251658779e-23
BROWNE_HCMV_INFECTION_10HR_DN,37,0.410212840022472,0.0294180490109379,13.9442571419318,8.12963107691112e-25,1.71050060319848e-23
EBAUER_MYOGENIC_TARGETS_OF_PAX3_FOXO1_FUSION,39,0.427109159330977,0.0306668071225933,13.9274087981696,8.77514943060138e-25,1.83154918915512e-23
GEISS_RESPONSE_TO_DSRNA_UP,30,0.42056981298484,0.0302096077364395,13.9217237328619,9.00440101654346e-25,1.84996606171629e-23
ZHAN_V2_LATE_DIFFERENTIATION_GENES,40,0.462695844038746,0.0332355751065688,13.921704154513,9.00520083702447e-25,1.84996606171629e-23
MIKKELSEN_MEF_LCP_WITH_H3K4ME3,84,0.422724610551723,0.0304214733635793,13.8955995161566,1.01378094361685e-24,2.06637068898153e-23
KIM_MYC_AMPLIFICATION_TARGETS_DN,55,0.440765661854384,0.0317632813111969,13.8765783527223,1.10523756633565e-24,2.23532155858116e-23
PEART_HDAC_PROLIFERATION_CLUSTER_UP,50,0.460685988368697,0.0332085222228414,13.8725230010936,1.12578525656243e-24,2.25936441105491e-23
MARZEC_IL2_SIGNALING_UP,86,0.452619805580222,0.0326988832200776,13.8420570064701,1.29295095745785e-24,2.57504507481492e-23
HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_4HR,32,0.419566557050557,0.030320349383123,13.8377876768167,1.31829196850258e-24,2.60562404986608e-23
GRADE_COLON_VS_RECTAL_CANCER_DN,38,0.438113920228924,0.031734276685806,13.8057005227058,1.52544140896571e-24,2.99238844811394e-23
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN,128,0.460474498697492,0.0334349801832577,13.7722378231907,1.77644703055905e-24,3.45876888263325e-23
VANTVEER_BREAST_CANCER_METASTASIS_DN,93,0.451460304710157,0.0327863769793097,13.7697527541716,1.79666693964464e-24,3.47222521891324e-23
GOZGIT_ESR1_TARGETS_UP,104,0.416786574408624,0.0303018925637247,13.7544733726491,1.9261766509952e-24,3.69514329591653e-23
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION,90,0.447172081260264,0.0325149626073508,13.7528093345914,1.94083644246415e-24,3.69608925429852e-23
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,31,0.435702655976565,0.0317197231144958,13.7360170012786,2.09520096712287e-24,3.96114443711852e-23
KYNG_RESPONSE_TO_H2O2,57,0.459102968028902,0.0334332330569558,13.731934546886,2.13455898120483e-24,4.00652113810317e-23
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,64,0.403712650552704,0.0294078098594704,13.728076061492,2.17244099629048e-24,4.04849897094418e-23
BIDUS_METASTASIS_UP,150,0.429088921421294,0.0312599064543979,13.7264940970713,2.18816722186819e-24,4.04888530627952e-23
KEGG_PRIMARY_IMMUNODEFICIENCY,32,0.438270583147019,0.0319483404073513,13.7181017091634,2.27353035950053e-24,4.16443057691818e-23
REACTOME_AXON_GUIDANCE,175,0.424874711978476,0.0309737869965711,13.7172349001273,2.28253573207857e-24,4.16443057691818e-23
KIM_WT1_TARGETS_DN,336,0.458066951332445,0.0334237871963278,13.7048189255696,2.41553409799386e-24,4.37647809837916e-23
WENG_POR_TARGETS_LIVER_UP,29,0.418378826529872,0.0305871878900851,13.6782376998276,2.72706601944266e-24,4.90683809981096e-23
LINDGREN_BLADDER_CANCER_WITH_LOH_IN_CHR9Q,82,0.430930449459824,0.0315273822221444,13.6684500610756,2.85169536629828e-24,5.09594055525494e-23
STAMBOLSKY_TARGETS_OF_MUTATED_TP53_UP,34,0.429910260875692,0.0314604335516843,13.6651092290073,2.89553366321089e-24,5.13907981450151e-23
ZHANG_BREAST_CANCER_PROGENITORS_DN,101,0.398146795787397,0.0291493100946435,13.6588754414658,2.97915341653899e-24,5.2517643673988e-23
ZHANG_ANTIVIRAL_RESPONSE_TO_RIBAVIRIN_DN,36,0.435481064527345,0.031893434381087,13.6542543309662,3.0427043195365e-24,5.32779568434277e-23
WEI_MIR34A_TARGETS,102,0.438309418046009,0.0321060674615184,13.651918553132,3.07534351286013e-24,5.34904748336805e-23
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,100,0.412135946683436,0.0302206312290747,13.6375691016979,3.2837273125716e-24,5.67367189304589e-23
DOANE_RESPONSE_TO_ANDROGEN_UP,121,0.440123607242866,0.0322909462966353,13.6299383486549,3.40026601566316e-24,5.83637765451657e-23
SERVITJA_LIVER_HNF1A_TARGETS_DN,120,0.416358637076163,0.0305659443801793,13.6216513351426,3.53154358609743e-24,6.01014305029422e-23
WHITEFORD_PEDIATRIC_CANCER_MARKERS,90,0.428799478293697,0.0314815476163003,13.6206606968609,3.54757389706903e-24,6.01014305029422e-23
LIAN_LIPA_TARGETS_3M,43,0.433778256716767,0.0318833995674233,13.6051444514084,3.80842003806827e-24,6.41043088988394e-23
WANG_BARRETTS_ESOPHAGUS_UP,39,0.452521197168327,0.0332934989075629,13.5918786554913,4.04667782583398e-24,6.74484525861187e-23
ABRAMSON_INTERACT_WITH_AIRE,36,0.41394593143746,0.0304568524068303,13.5912249206891,4.05879917823712e-24,6.74484525861187e-23
REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX,97,0.407777157164376,0.0300151041212847,13.5857318874069,4.16210230696034e-24,6.87273729041742e-23
OLSSON_E2F3_TARGETS_DN,41,0.400281258402016,0.0294834647618778,13.5764660508822,4.3423843984135e-24,7.10993554100576e-23
JAERVINEN_AMPLIFIED_IN_LARYNGEAL_CANCER,33,0.432113017310596,0.0318301959062855,13.5755688900824,4.36025176911047e-24,7.10993554100576e-23
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP,99,0.399856513196512,0.0294667027090516,13.5697745738509,4.47744220749365e-24,7.25568119214344e-23
VERHAAK_AML_WITH_NPM1_MUTATED_UP,122,0.458777647744059,0.0338127851835623,13.5681708931534,4.51043276248244e-24,7.26025087170129e-23
KEGG_ARACHIDONIC_ACID_METABOLISM,34,0.420140544508328,0.0309679662988497,13.5669401230243,4.53591756261905e-24,7.26025087170129e-23
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_UP,114,0.418329270588592,0.0308494529868717,13.560346459518,4.67493462160466e-24,7.43713684619912e-23
DAIRKEE_CANCER_PRONE_RESPONSE_BPA_E2,92,0.415525395480608,0.0306597506256288,13.5527976256032,4.83935828247652e-24,7.65205197514015e-23
GALE_APL_WITH_FLT3_MUTATED_UP,33,0.447365064299024,0.0330359381598338,13.5417696368903,5.09007319868746e-24,8.00000058757565e-23
WARTERS_IR_RESPONSE_5GY,33,0.414138922724612,0.0306088169256301,13.5300532435096,5.37076586026997e-24,8.39061564637387e-23
REACTOME_CELL_CELL_COMMUNICATION,85,0.458171965860152,0.033899413546816,13.5156310367259,5.73774866034432e-24,8.91058705645139e-23
PROVENZANI_METASTASIS_DN,109,0.415542803691942,0.0307925913803046,13.4948955272965,6.31001731447441e-24,9.74132258784837e-23
LIU_VMYB_TARGETS_UP,91,0.456064688410648,0.0338095179254078,13.4892396104801,6.47584476846946e-24,9.93851705937459e-23
IWANAGA_CARCINOGENESIS_BY_KRAS_PTEN_UP,113,0.405438297925075,0.0300622224189029,13.4866375571135,6.55359990988578e-24,9.99903050578479e-23
CADWELL_ATG16L1_TARGETS_DN,41,0.406793054583822,0.030205461202304,13.4675332999979,7.15397348575615e-24,1.08515795490336e-22
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_DN,122,0.410642705105915,0.0304947809099516,13.465999520328,7.20450813186792e-24,1.08650645757476e-22
KYNG_RESPONSE_TO_H2O2_VIA_ERCC6_UP,32,0.43687261898912,0.0324557666384962,13.4605546020577,7.38682237586045e-24,1.10759882635747e-22
SCHLOSSER_SERUM_RESPONSE_AUGMENTED_BY_MYC,82,0.421051013157063,0.0312904108433555,13.4562315357541,7.53487122973598e-24,1.12334165933607e-22
REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION,96,0.376240561398685,0.0279633084402654,13.4547942423337,7.58475105737386e-24,1.12435315390275e-22
LEIN_MIDBRAIN_MARKERS,52,0.416857196222575,0.0309934578025569,13.449844766536,7.75907154113272e-24,1.14369591247544e-22
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP,95,0.412963423093915,0.030709716044732,13.4473214435584,7.84948750689664e-24,1.15052319693783e-22
KRASNOSELSKAYA_ILF3_TARGETS_UP,33,0.405717318806668,0.0302000832923777,13.4343112526801,8.33275846972849e-24,1.2145344607554e-22
KEGG_P53_SIGNALING_PATHWAY,53,0.438016764763992,0.0326152125757356,13.4298301366847,8.50604827762451e-24,1.23290444201791e-22
CHANG_IMMORTALIZED_BY_HPV31_DN,51,0.462604146383809,0.0344625034462879,13.4234051540918,8.76085087497366e-24,1.25003721055578e-22
